Date,Open,High,Low,Close,Adj Close,Volume
2010-09-06,4655.100098,4750.700195,4651.450195,4740.350098,4740.350098,20863500
2010-09-13,4765.850098,4883.750000,4765.850098,4876.500000,4876.500000,28517100
2010-09-20,4894.850098,4963.850098,4871.799805,4934.200195,4934.200195,28455400
2010-09-27,4969.299805,5023.000000,4889.450195,5018.799805,5018.799805,27660100
2010-10-04,5052.149902,5125.299805,5007.200195,5032.649902,5032.649902,34253900
2010-10-11,5075.899902,5159.950195,4990.350098,4998.700195,4998.700195,30173700
2010-10-18,5026.200195,5055.799805,4932.450195,5018.700195,5018.700195,26240700
2010-10-25,5038.000000,5077.600098,4915.100098,4972.950195,4972.950195,30170900
2010-11-01,5013.799805,5212.149902,5013.799805,5197.049805,5197.049805,22064000
2010-11-08,5209.500000,5209.500000,5002.399902,5012.299805,5012.299805,30865500
2010-11-15,5016.799805,5054.750000,4834.750000,4850.549805,4850.549805,24332000
2010-11-22,4867.299805,4942.049805,4588.899902,4677.500000,4677.500000,35588400
2010-11-29,4698.299805,4937.350098,4669.700195,4875.799805,4875.799805,32416700
2010-12-06,4898.200195,4932.649902,4600.700195,4713.299805,4713.299805,28798300
2010-12-13,4727.149902,4814.899902,4688.350098,4794.950195,4794.950195,21339800
2010-12-20,4782.899902,4859.299805,4761.250000,4839.899902,4839.899902,22890900
2010-12-27,4840.850098,4947.500000,4818.000000,4940.950195,4940.950195,19768200
2011-01-03,4964.500000,4988.250000,4737.799805,4750.750000,4750.750000,23761400
2011-01-10,4748.950195,4750.600098,4557.149902,4566.750000,4566.750000,25481200
2011-01-17,4563.600098,4620.500000,4544.750000,4592.700195,4592.700195,21832000
2011-01-24,4604.000000,4667.500000,4381.850098,4427.500000,4427.500000,21243600
2011-01-31,4394.850098,4460.350098,4322.750000,4339.549805,4339.549805,26866000
2011-02-07,4358.399902,4362.950195,4128.250000,4240.450195,4240.450195,31784200
2011-02-14,4257.049805,4483.500000,4257.049805,4365.299805,4365.299805,28471300
2011-02-21,4364.000000,4407.399902,4173.750000,4226.750000,4226.750000,26720400
2011-02-28,4241.399902,4455.049805,4233.649902,4403.750000,4403.750000,23873300
2011-03-07,4377.049805,4422.500000,4308.899902,4343.700195,4343.700195,20296800
2011-03-14,4338.799805,4402.750000,4282.100098,4298.399902,4298.399902,20035000
2011-03-21,4317.649902,4499.500000,4276.250000,4493.350098,4493.350098,19307700
2011-03-28,4488.399902,4647.600098,4488.399902,4640.049805,4640.049805,27599600
2011-04-04,4648.750000,4753.500000,4648.750000,4684.500000,4684.500000,29959900
2011-04-11,4664.600098,4736.000000,4614.750000,4679.799805,4679.799805,14285800
2011-04-18,4679.750000,4736.000000,4582.299805,4711.549805,4711.549805,19480200
2011-04-25,4697.850098,4730.399902,4585.950195,4615.299805,4615.299805,24470600
2011-05-02,4624.750000,4632.899902,4379.549805,4460.450195,4460.450195,21282600
2011-05-09,4473.350098,4507.399902,4416.899902,4470.350098,4470.350098,17062400
2011-05-16,4469.000000,4469.000000,4362.450195,4411.899902,4411.899902,16522200
2011-05-23,4395.850098,4412.799805,4303.850098,4409.799805,4409.799805,19959500
2011-05-30,4419.399902,4525.299805,4407.250000,4457.899902,4457.899902,21412500
2011-06-06,4451.149902,4496.299805,4424.000000,4442.799805,4442.799805,16850600
2011-06-13,4434.200195,4474.149902,4352.700195,4357.750000,4357.750000,18485800
2011-06-20,4360.950195,4395.950195,4220.100098,4392.200195,4392.200195,25658900
2011-06-27,4375.950195,4554.500000,4375.950195,4522.049805,4522.049805,26237300
2011-07-04,4550.299805,4611.399902,4523.149902,4554.799805,4554.799805,21146800
2011-07-11,4548.000000,4560.600098,4437.250000,4514.649902,4514.649902,18917900
2011-07-18,4515.000000,4560.299805,4469.950195,4544.299805,4544.299805,20061400
2011-07-25,4544.200195,4591.350098,4419.600098,4424.049805,4424.049805,26876000
2011-08-01,4448.850098,4476.950195,4144.299805,4220.500000,4220.500000,24591700
2011-08-08,4150.200195,4205.950195,4028.250000,4121.350098,4121.350098,27687200
2011-08-15,4121.350098,4162.549805,3883.649902,3925.800049,3925.800049,22116600
2011-08-22,3924.949951,4030.350098,3833.699951,3851.550049,3851.550049,25189300
2011-08-29,3883.600098,4097.899902,3883.600098,4070.899902,4070.899902,15467500
2011-09-05,4048.149902,4175.649902,4013.300049,4098.100098,4098.100098,28592100
2011-09-12,4055.899902,4136.000000,3987.649902,4105.100098,4105.100098,27042100
2011-09-19,4096.299805,4167.200195,3923.300049,3952.100098,3952.100098,24553800
2011-09-26,3957.949951,4037.949951,3860.550049,3978.350098,3978.350098,24243100
2011-10-03,3940.850098,3942.100098,3817.350098,3913.949951,3913.949951,17822200
2011-10-10,3913.350098,4099.200195,3910.600098,4090.699951,4090.699951,7113800
2011-10-17,4103.750000,4111.450195,4007.149902,4024.649902,4024.649902,1624400
2011-10-24,4059.949951,4235.149902,4033.050049,4229.750000,4229.750000,1311000
2011-10-31,4228.700195,4236.049805,4137.000000,4201.100098,4201.100098,2125000
2011-11-07,4201.100098,4217.850098,4084.600098,4100.899902,4100.899902,1341300
2011-11-14,4127.049805,4141.950195,3819.500000,3869.050049,3869.050049,18518600
2011-11-21,3851.649902,3851.649902,3672.550049,3742.199951,3742.199951,29526200
2011-11-28,3774.600098,3968.649902,3768.050049,3962.100098,3962.100098,27124700
2011-12-05,3954.750000,3997.250000,3815.000000,3830.850098,3830.850098,19852200
2011-12-12,3852.750000,3854.149902,3632.750000,3647.949951,3647.949951,25119600
2011-12-19,3632.449951,3699.550049,3535.850098,3660.550049,3660.550049,25663100
2011-12-26,3662.850098,3720.199951,3582.449951,3597.750000,3597.750000,20751900
2012-01-02,3606.399902,3720.949951,3568.750000,3694.800049,3694.800049,22950500
2012-01-09,3698.050049,3850.899902,3664.399902,3827.199951,3827.199951,31743400
2012-01-16,3815.250000,3963.100098,3798.649902,3952.699951,3952.699951,32459000
2012-01-23,3940.000000,4090.250000,3939.399902,4085.350098,4085.350098,29339100
2012-01-30,4062.949951,4194.549805,3987.949951,4188.450195,4188.450195,39364200
2012-02-06,4217.750000,4294.549805,4189.500000,4258.399902,4258.399902,41520300
2012-02-13,4258.549805,4454.600098,4237.350098,4414.049805,4414.049805,50239900
2012-02-20,4412.799805,4465.250000,4265.450195,4284.549805,4284.549805,42156600
2012-02-27,4294.799805,4325.450195,4156.750000,4254.500000,4254.500000,39258300
2012-03-05,4246.850098,4270.450195,4110.899902,4238.850098,4238.850098,27488800
2012-03-12,4286.250000,4365.500000,4219.399902,4226.049805,4226.049805,36553900
2012-03-19,4236.700195,4291.049805,4154.000000,4202.250000,4202.250000,32097600
2012-03-26,4200.149902,4226.649902,4089.750000,4221.799805,4221.799805,32486000
2012-04-02,4222.200195,4295.600098,4219.950195,4262.200195,4262.200195,15234700
2012-04-09,4240.049805,4245.700195,4161.799805,4169.549805,4169.549805,25826200
